Satisfaction Score,Complaints Raised,Complaints Resolved,Complaint Resolution Ratio,Resolution Time (hours),Feedback Sentiment,Revenue Generated (USD),Service Renewal Likelihood (%),Client Communication Rating,Past Renewals,Churn Risk,Account Manager Engagement,Product Usability Score,Customer Tenure
1,-0.0729104377512472,-0.7340646864263944,-1.1076097237981224,0.4381810539279118,2,-0.9775699505145449,0.4099453071823424,-0.23715578405196125,0.25904906497663943,0,1,8,2
2,1.1877887740858786,-0.45281384871513214,-1.0769284479600965,-0.2826695502526843,0,0.19901753606252248,1.0174716968811874,1.5459704118274467,0.85456415687696,1,9,2,3
1,-1.5437261848945607,-1.0153155241376566,1.2855297915678916,0.8226347094908963,2,-0.6012131683195334,-0.46759281127154484,-0.5937810232278428,-0.9319811188240016,0,8,8,2
1,-0.4931435083636225,0.1096878267073923,0.7271305713158219,-0.18655613636193816,0,-0.06775208702419903,-0.737604540026587,0.4760946942998019,0.85456415687696,1,2,3,1
1,1.1877887740858786,2.0784436906862283,0.8559919298355302,0.10178410531030027,2,0.8700203792369944,0.20743651061606075,-0.23715578405196125,-0.33646602692368105,1,5,9,2
2,-1.3336096495883731,-1.0153155241376566,-1.506466309692458,-0.42683967108880355,2,0.02145535659176979,-0.1975810825165026,0.4760946942998019,-1.5274962107243222,1,9,2,5
1,1.1877887740858786,-0.17156301100386992,-0.8621595170939157,-0.8112933266517881,0,1.393476356134425,-0.13007815032774206,-1.307031501579606,1.4500792487772804,0,2,6,10
3,1.3979053093920664,2.3596945283974904,0.8866732056735559,-0.4748963780341766,2,-1.1351006034954603,-0.8726104044041082,0.8327199334756834,-1.5274962107243222,2,10,4,10
2,-0.4931435083636225,-0.7340646864263944,-0.948067089440388,-0.18655613636193816,1,1.5858116975677075,1.6249980865800324,-0.23715578405196125,0.25904906497663943,1,4,10,3
3,0.13720609755494045,0.39093866441865455,0.23853125359526056,-1.1957469822147726,1,-0.07530565660869601,-0.602598675649066,-0.23715578405196125,0.85456415687696,0,6,7,1
5,-1.3336096495883731,-1.0153155241376566,-1.506466309692458,-1.5321439308323843,0,0.030167187551876355,-0.5350957434603054,1.5459704118274467,1.4500792487772804,0,10,1,8
